id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance,index
2843,GRIDPOINT_FIELDS_MIX:ALLOCATE_GRID,1,0,0.0017424242,0,0.002,0.0006399665,0.0032272727,0,0.004,198,455.468,100,719
2844,>BAR-BARRIER IN DIST_SPEC_( 787),1,0,0.0027424242,0,0.011,0.00363026,0.0027424242,0,0.011,66,455.711,100,720
2846,>OMP-SETUP SUGEM2 1       (1405),6,0,0.0028787879,0.002,0.004,0.0004830856,0.0028813131,0.002,0.004,396,455.411,50,721
2855,radiation_flux:deallocate,6,0,0.0021161616,0.002,0.003,0.000320824,0.0022474747,0.002,0.003,121770,455.479,33.3333333333,722
2857,radiation_cloud:create_fractional_std,6,0,0.0020126263,0.001,0.003,0.0001325205,0.0020378788,0.002,0.003,121770,455.494,66.6666666667,723
2858,PEAKFRI,6,0,0.002,0.002,0.002,0,0.002,0.002,0.002,56628,455.512,0,724
2859,WVRG2XF,1,0,0.0022121212,0.002,0.003,0.0004119429,0.0075757576,0.006,0.009,6336,455.488,33.3333333333,725
2863,INITIALINT,1,0,0.002,0.002,0.002,0,0.0020757576,0.002,0.003,66,455.483,0,726
2870,MINV_8:GEDI,1,0,0.002030303,0.002,0.004,0.000246183,0.002030303,0.002,0.004,396,455.479,50,727
2872,SUHDF_EC,1,0,0.0026212121,0.002,0.005,0.0009074928,0.0026212121,0.002,0.005,66,455.453,60,728
2874,SRTM_KGB19,1,0,0.002,0.002,0.002,0,0.002,0.002,0.002,66,455.49,0,729
2876,SU_GRIB_API,1,0,0.0018636364,0.001,0.003,0.0004255806,0.0199242424,0.019,0.022,66,455.46,66.6666666667,730
2877,SUMPINI_PRT,1,0,0.0022727273,0.001,0.005,0.0007950898,0.0022727273,0.001,0.005,66,455.165,80,731
